"","C","pair","Fst"
"1","K","2 6",0.0995207374680065
"2","K","2 3",0.0550767831018748
"3","K","2 4",0.0166521598608029
"4","K","2 5",0.0779165744736309
"5","K","2 1",0.0195203856085012
"6","K","6 3",0.156600688293491
"7","K","6 4",0.100872872127377
"8","K","6 5",0.0341253933978571
"9","K","6 1",0.134406750213689
"10","K","3 4",0.0687377262746821
"11","K","3 5",0.135548587391172
"12","K","3 1",0.0781328418786317
"13","K","4 5",0.0777582813765398
"14","K","4 1",0.0375102328059478
"15","K","5 1",0.107756240831991
"16","K12","12 6",0.0994725788365585
"17","K12","12 3",0.0546820119450207
"18","K12","12 4",0.0177744700146408
"19","K12","12 5",0.0786334153184946
"20","K12","6 3",0.156600688293491
"21","K12","6 4",0.100872872127377
"22","K12","6 5",0.0341253933978571
"23","K12","3 4",0.0687377262746821
"24","K12","3 5",0.135548587391172
"25","K12","4 5",0.0777582813765398
"26","K24","24 6",0.0918384222055275
"27","K24","24 3",0.0546387214362496
"28","K24","24 5",0.0711912220030064
"29","K24","24 1",0.0212125462058104
"30","K24","6 3",0.156600688293491
"31","K24","6 5",0.0341253933978571
"32","K24","6 1",0.134406750213689
"33","K24","3 5",0.135548587391172
"34","K24","3 1",0.0781328418786317
"35","K24","5 1",0.107756240831991
"36","K56","2 56",0.0869478390270203
"37","K56","2 3",0.0550767831018748
"38","K56","2 4",0.0166521598608029
"39","K56","2 1",0.0195203856085012
"40","K56","56 3",0.140717559547528
"41","K56","56 4",0.0868563593555139
"42","K56","56 1",0.115148160956981
"43","K56","3 4",0.0687377262746821
"44","K56","3 1",0.0781328418786317
"45","K56","4 1",0.0375102328059478